NAME,Rarity Sum
Protardio #180,289.5
Protardio #731,289.5
Protardio #662,289.50000000000006
Protardio #617,289.6
Protardio #622,289.6
Protardio #197,289.6
Protardio #503,289.70000000000005
Protardio #802,289.9
Protardio #451,290.2
Protardio #597,290.2
Protardio #394,290.2
Protardio #139,290.29999999999995
Protardio #733,290.3
Protardio #565,290.4
Protardio #907,290.4
Protardio #732,290.49999999999994
Protardio #962,290.5
Protardio #709,290.6
Protardio #971,290.7
Protardio #32,290.7
Protardio #360,290.8
Protardio #84,290.8
Protardio #243,290.8
Protardio #167,290.9
Protardio #437,291.09999999999997
Protardio #452,291.1
Protardio #90,291.2
Protardio #42,291.2
Protardio #127,291.30000000000007
Protardio #892,291.4000000000001
Protardio #324,291.5
Protardio #143,291.5
Protardio #529,291.7
Protardio #704,291.70000000000005
Protardio #739,291.8
Protardio #53,291.9
Protardio #498,291.9
Protardio #221,291.90000000000003
Protardio #531,291.90000000000003
Protardio #990,292.09999999999997
Protardio #405,292.19999999999993
Protardio #718,292.2
Protardio #171,292.20000000000005
Protardio #778,292.4
Protardio #39,292.79999999999995
Protardio #101,292.90000000000003
Protardio #798,293
Protardio #120,293.1
Protardio #331,293.30000000000007
Protardio #999,293.4
Protardio #272,293.4999999999999
Protardio #922,294.1
Protardio #191,294.4
Protardio #823,294.50000000000006
Protardio #173,294.59999999999997
Protardio #835,294.70000000000005
Protardio #568,294.90000000000003
Protardio #55,295.2
Protardio #517,295.40000000000003
Protardio #603,295.79999999999995
Protardio #425,295.79999999999995
Protardio #358,295.8
Protardio #254,295.9
Protardio #395,296
Protardio #68,296.1000000000001
Protardio #126,296.1000000000001
Protardio #545,296.1000000000001
Protardio #566,296.19999999999993
Protardio #606,296.3
Protardio #241,296.40000000000003
Protardio #390,296.40000000000003
Protardio #686,296.7999999999999
Protardio #445,296.79999999999995
Protardio #400,296.8
Protardio #846,296.8
Protardio #98,296.80000000000007
Protardio #549,296.9
Protardio #665,296.9
Protardio #322,296.9
Protardio #487,297
Protardio #532,297
Protardio #73,297.09999999999997
Protardio #637,297.09999999999997
Protardio #762,297.19999999999993
Protardio #800,297.20000000000005
Protardio #677,297.2000000000001
Protardio #368,297.29999999999995
Protardio #479,297.30000000000007
Protardio #347,297.30000000000007
Protardio #129,297.30000000000007
Protardio #938,297.4
Protardio #631,297.4
Protardio #45,297.40000000000003
Protardio #384,297.40000000000003
Protardio #492,297.49999999999994
Protardio #865,297.5
Protardio #702,297.50000000000006
Protardio #494,297.50000000000006
Protardio #579,297.6
Protardio #576,297.6
Protardio #144,297.7
Protardio #585,297.70000000000005
Protardio #339,297.70000000000005
Protardio #737,297.70000000000005
Protardio #190,297.70000000000005
Protardio #678,297.70000000000005
Protardio #13,297.7000000000001
Protardio #247,297.8
Protardio #884,298
Protardio #953,298.00000000000006
Protardio #168,298.0000000000001
Protardio #741,298.09999999999997
Protardio #858,298.1
Protardio #590,298.1
Protardio #182,298.19999999999993
Protardio #321,298.2
Protardio #588,298.20000000000005
Protardio #611,298.20000000000005
Protardio #138,298.20000000000005
Protardio #768,298.29999999999995
Protardio #407,298.29999999999995
Protardio #81,298.3
Protardio #496,298.3
Protardio #899,298.3
